MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 01/07/2013 17:54:49


[COMMENT]
8G(alternativo_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
4,00	-9,00	-8,00	10,00	-4,00	-8,00	0,00	-14,00	1,00	-7,00	-3,00	59,00	5,00	-4104,00	-3,00	-8,00
0,00	-13,00	6,00	-25,00	2,00	-5,00	6,00	-18,00	-5,00	-2,00	-64,00	71,00	6,00	-4104,00	-3,00	1,00
-10,00	-6,00	11,00	-11,00	14,00	-7,00	-2,00	-17,00	-3,00	4,00	-79,00	36,00	5,00	-4101,00	2,00	2,00
11,00	-8,00	3,00	-20,00	24,00	3,00	0,00	-6,00	2,00	0,00	-54,00	15,00	3,00	-4101,00	3,00	22,00
-13,00	-2,00	-15,00	-34,00	-2,00	-8,00	-1,00	12,00	2,00	-5,00	-23,00	37,00	1,00	-4097,00	-2,00	69,00
-10,00	15,00	-31,00	-21,00	26,00	-2,00	-3,00	15,00	0,00	-5,00	-6,00	34,00	2,00	-4096,00	-2,00	50,00
-6,00	7,00	-5,00	20,00	-4,00	-3,00	0,00	-3,00	5,00	-3,00	-4,00	-64,00	0,00	-4093,00	-4,00	-11,00
-6,00	-13,00	-2,00	37,00	-3,00	-2,00	-3,00	-17,00	2,00	2,00	22,00	-69,00	2,00	-4093,00	-9,00	-44,00
-8,00	-16,00	-7,00	39,00	-2,00	-2,00	0,00	-18,00	-2,00	6,00	85,00	20,00	2,00	-4091,00	-11,00	-43,00
-4,00	-11,00	-9,00	38,00	17,00	-3,00	-7,00	-15,00	-2,00	5,00	85,00	22,00	4,00	-4090,00	-11,00	-13,00
-10,00	14,00	8,00	26,00	-3,00	-6,00	-2,00	-14,00	-3,00	2,00	-1,00	7,00	4,00	-4088,00	-11,00	9,00
-8,00	7,00	17,00	34,00	11,00	4,00	0,00	-20,00	2,00	-4,00	-70,00	24,00	4,00	-4087,00	-7,00	6,00
-4,00	-15,00	6,00	34,00	2,00	2,00	-1,00	-9,00	-2,00	-3,00	-68,00	-23,00	2,00	-4086,00	-4,00	10,00
-5,00	-14,00	2,00	-30,00	-10,00	-7,00	-3,00	3,00	-6,00	-6,00	-27,00	-54,00	3,00	-4082,00	-4,00	7,00
