MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:57:11


[COMMENT]
10_G_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-10,00	4,00	17,00	6,00	3,00	-3,00	12,00	-18,00	9,00	1,00	0,00	-70,00	-2,00	-7270,00	-18,00	1,00
-4,00	3,00	18,00	8,00	1,00	-4,00	12,00	-15,00	16,00	5,00	5,00	-65,00	-1,00	-7278,00	-17,00	-9,00
0,00	-1,00	9,00	7,00	3,00	-5,00	7,00	-6,00	15,00	0,00	7,00	-63,00	0,00	-7288,00	-15,00	-2,00
-7,00	-2,00	2,00	2,00	2,00	-6,00	-1,00	0,00	12,00	0,00	2,00	-59,00	4,00	-7299,00	-10,00	11,00
0,00	-9,00	-7,00	0,00	2,00	-3,00	-5,00	3,00	14,00	-2,00	0,00	-49,00	0,00	-7306,00	-8,00	-2,00
0,00	-8,00	-16,00	-9,00	4,00	-2,00	-6,00	-16,00	12,00	-2,00	-3,00	-36,00	-3,00	-7318,00	-10,00	-22,00
-2,00	-10,00	0,00	-8,00	0,00	0,00	-13,00	-23,00	12,00	2,00	-6,00	-30,00	-3,00	-7328,00	-13,00	-24,00
-9,00	-8,00	11,00	-2,00	4,00	-1,00	-16,00	4,00	14,00	-1,00	-6,00	-34,00	0,00	-7341,00	-14,00	-23,00
-5,00	-6,00	2,00	-10,00	1,00	-4,00	-5,00	52,00	14,00	-1,00	-18,00	-44,00	-1,00	-7350,00	-9,00	-20,00
-5,00	-8,00	-3,00	-11,00	3,00	0,00	0,00	26,00	13,00	-2,00	-24,00	-45,00	2,00	-7360,00	-7,00	-15,00
0,00	-2,00	6,00	-7,00	3,00	-2,00	-6,00	-28,00	13,00	0,00	-16,00	-27,00	0,00	-7371,00	-1,00	-14,00
5,00	-1,00	-2,00	-1,00	3,00	-5,00	-10,00	-37,00	11,00	2,00	-11,00	-10,00	-5,00	-7381,00	0,00	-10,00
9,00	-9,00	-1,00	2,00	1,00	-2,00	-8,00	-33,00	14,00	-8,00	-6,00	-15,00	-4,00	-7391,00	-1,00	-9,00
-2,00	-10,00	9,00	5,00	4,00	-1,00	-1,00	-19,00	12,00	-4,00	0,00	-25,00	0,00	-7401,00	2,00	-14,00
3,00	-6,00	1,00	4,00	0,00	-2,00	-2,00	-15,00	14,00	-7,00	12,00	-31,00	0,00	-7409,00	3,00	-4,00
-3,00	-7,00	7,00	6,00	3,00	0,00	-3,00	-5,00	11,00	-6,00	17,00	-36,00	1,00	-7420,00	0,00	11,00
-4,00	-3,00	6,00	6,00	3,00	-2,00	-1,00	3,00	7,00	1,00	19,00	-32,00	2,00	-7428,00	-9,00	17,00
-3,00	1,00	3,00	12,00	-1,00	-6,00	3,00	17,00	10,00	1,00	14,00	-34,00	4,00	-7437,00	-11,00	11,00
-2,00	-1,00	-8,00	11,00	4,00	-2,00	-8,00	16,00	9,00	2,00	7,00	-39,00	3,00	-7447,00	-9,00	-17,00
-3,00	0,00	-15,00	16,00	3,00	-1,00	-12,00	13,00	7,00	3,00	8,00	-45,00	1,00	-7455,00	-6,00	-30,00
-2,00	-2,00	0,00	25,00	2,00	-2,00	-17,00	-14,00	14,00	7,00	4,00	-49,00	-1,00	-7468,00	-4,00	-8,00
-2,00	-1,00	11,00	27,00	0,00	-1,00	-21,00	-27,00	16,00	6,00	6,00	-47,00	-3,00	-7477,00	-4,00	6,00
3,00	-3,00	13,00	26,00	4,00	-5,00	-20,00	-22,00	13,00	2,00	6,00	-38,00	-5,00	-7486,00	-4,00	1,00
-7,00	-6,00	14,00	17,00	4,00	-4,00	-13,00	-6,00	15,00	-4,00	-2,00	-28,00	-10,00	-7495,00	-6,00	-21,00
0,00	-2,00	11,00	10,00	0,00	-4,00	-4,00	-11,00	13,00	-12,00	-11,00	-20,00	-10,00	-7505,00	-1,00	-27,00
0,00	-2,00	2,00	13,00	3,00	0,00	0,00	-34,00	12,00	-9,00	-16,00	-12,00	-3,00	-7512,00	-3,00	-10,00
2,00	-2,00	3,00	12,00	2,00	-4,00	2,00	-41,00	17,00	3,00	-13,00	-10,00	-9,00	-7524,00	-3,00	0,00
-4,00	3,00	-3,00	18,00	3,00	-1,00	2,00	-19,00	13,00	14,00	-4,00	-18,00	-15,00	-7534,00	-5,00	1,00
-9,00	0,00	0,00	10,00	4,00	1,00	2,00	-3,00	7,00	22,00	5,00	-30,00	-16,00	-7544,00	-8,00	2,00
-15,00	0,00	-1,00	0,00	2,00	4,00	6,00	0,00	10,00	21,00	12,00	-25,00	-6,00	-7553,00	-4,00	3,00
-15,00	2,00	-1,00	-3,00	2,00	1,00	9,00	-7,00	11,00	20,00	24,00	-12,00	-1,00	-7560,00	0,00	-3,00
-10,00	0,00	7,00	-8,00	4,00	6,00	5,00	-16,00	7,00	19,00	31,00	-2,00	7,00	-7568,00	-3,00	-3,00
-1,00	0,00	10,00	6,00	3,00	5,00	1,00	7,00	9,00	25,00	22,00	-2,00	4,00	-7578,00	-1,00	7,00
-2,00	0,00	19,00	14,00	3,00	5,00	-1,00	38,00	12,00	21,00	5,00	4,00	4,00	-7588,00	-1,00	6,00
3,00	4,00	22,00	20,00	2,00	2,00	-7,00	62,00	14,00	13,00	0,00	-4,00	12,00	-7599,00	-2,00	0,00
7,00	3,00	17,00	19,00	3,00	4,00	1,00	48,00	11,00	14,00	-7,00	-23,00	7,00	-7606,00	-5,00	11,00
4,00	-1,00	1,00	16,00	0,00	2,00	0,00	38,00	10,00	5,00	0,00	-30,00	0,00	-7614,00	-8,00	10,00
3,00	0,00	-1,00	11,00	2,00	7,00	-6,00	-34,00	10,00	16,00	-1,00	-30,00	-18,00	-7622,00	-4,00	4,00
0,00	-1,00	10,00	9,00	0,00	6,00	-4,00	-89,00	12,00	17,00	-4,00	-29,00	-29,00	-7631,00	-1,00	7,00
-4,00	0,00	7,00	10,00	0,00	4,00	-6,00	-49,00	9,00	15,00	-7,00	-24,00	-21,00	-7642,00	-4,00	13,00
0,00	-5,00	3,00	3,00	3,00	2,00	-8,00	11,00	8,00	16,00	-5,00	-34,00	-22,00	-7647,00	-7,00	17,00
-4,00	-6,00	-11,00	-7,00	0,00	0,00	-7,00	24,00	8,00	9,00	2,00	-51,00	-18,00	-7657,00	-6,00	11,00
-4,00	-1,00	-16,00	-2,00	3,00	-4,00	-8,00	-9,00	9,00	22,00	11,00	-50,00	-11,00	-7666,00	6,00	7,00
2,00	0,00	-27,00	6,00	4,00	-7,00	-2,00	-8,00	9,00	25,00	12,00	-29,00	-4,00	-7673,00	0,00	6,00
0,00	-1,00	-32,00	2,00	2,00	-8,00	-4,00	14,00	16,00	10,00	0,00	-12,00	-2,00	-7682,00	2,00	9,00
0,00	4,00	-23,00	6,00	2,00	-17,00	-10,00	7,00	14,00	5,00	-15,00	3,00	-9,00	-7688,00	6,00	9,00
-4,00	0,00	-19,00	6,00	1,00	-17,00	-11,00	-28,00	13,00	3,00	-18,00	14,00	-15,00	-7696,00	-3,00	7,00
-4,00	0,00	-4,00	11,00	3,00	-6,00	-2,00	-20,00	13,00	6,00	-9,00	14,00	-9,00	-7705,00	0,00	4,00
-3,00	-4,00	6,00	11,00	2,00	-6,00	-2,00	17,00	17,00	7,00	-3,00	0,00	-12,00	-7712,00	-7,00	5,00
-9,00	-7,00	0,00	17,00	2,00	1,00	-3,00	31,00	14,00	3,00	-1,00	-9,00	-9,00	-7720,00	0,00	7,00
-6,00	-11,00	-3,00	27,00	4,00	0,00	-5,00	30,00	14,00	6,00	-4,00	-3,00	4,00	-7727,00	8,00	17,00
2,00	-9,00	-19,00	16,00	3,00	-1,00	11,00	23,00	14,00	8,00	-4,00	2,00	13,00	-7737,00	-9,00	30,00
4,00	-8,00	-28,00	23,00	0,00	2,00	10,00	-2,00	12,00	14,00	4,00	0,00	16,00	-7744,00	-17,00	26,00
2,00	-6,00	-18,00	36,00	0,00	5,00	0,00	-19,00	12,00	18,00	10,00	-1,00	16,00	-7754,00	-20,00	3,00
3,00	-4,00	0,00	37,00	3,00	6,00	-2,00	-22,00	11,00	13,00	18,00	1,00	16,00	-7758,00	-16,00	-7,00
-2,00	-7,00	3,00	32,00	4,00	-4,00	-3,00	-39,00	11,00	20,00	22,00	5,00	11,00	-7765,00	-11,00	-4,00
-7,00	-10,00	6,00	38,00	2,00	-13,00	-7,00	-25,00	14,00	16,00	23,00	4,00	0,00	-7771,00	-11,00	-7,00
2,00	-3,00	-4,00	47,00	0,00	-15,00	-11,00	-1,00	14,00	11,00	19,00	-2,00	-8,00	-7782,00	-10,00	-7,00
-4,00	-9,00	-6,00	30,00	3,00	-23,00	-14,00	3,00	15,00	14,00	10,00	-4,00	-18,00	-7789,00	-11,00	2,00
