MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:55:14


[COMMENT]
10_L_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-4,00	-4,00	7,00	11,00	0,00	-4,00	9,00	4,00	16,00	-2,00	-4,00	6,00	6,00	-4256,00	-7,00	15,00
-5,00	7,00	-13,00	19,00	-2,00	-1,00	20,00	-8,00	6,00	5,00	7,00	-2,00	10,00	-4249,00	-1,00	13,00
-9,00	-6,00	-13,00	8,00	-1,00	4,00	-3,00	14,00	10,00	0,00	17,00	-2,00	5,00	-4244,00	2,00	10,00
-3,00	-9,00	-6,00	-8,00	0,00	-2,00	-2,00	0,00	6,00	2,00	16,00	-3,00	11,00	-4241,00	-5,00	16,00
-2,00	-3,00	0,00	2,00	2,00	-8,00	-8,00	-1,00	6,00	8,00	5,00	-2,00	9,00	-4233,00	-3,00	11,00
2,00	-4,00	0,00	7,00	-1,00	-6,00	-11,00	6,00	6,00	2,00	0,00	-3,00	8,00	-4228,00	-2,00	7,00
1,00	1,00	7,00	4,00	-2,00	-1,00	-11,00	4,00	11,00	0,00	-2,00	-8,00	7,00	-4225,00	-3,00	2,00
-4,00	-1,00	7,00	3,00	3,00	2,00	-8,00	5,00	2,00	6,00	4,00	-4,00	5,00	-4222,00	-3,00	6,00
-4,00	-1,00	-4,00	0,00	2,00	-4,00	-3,00	-2,00	5,00	-2,00	0,00	-7,00	10,00	-4214,00	-2,00	11,00
0,00	0,00	2,00	5,00	4,00	-1,00	-3,00	-16,00	10,00	0,00	0,00	-7,00	3,00	-4207,00	0,00	9,00
-9,00	2,00	-2,00	26,00	3,00	0,00	-3,00	-42,00	7,00	7,00	-3,00	-14,00	2,00	-4206,00	0,00	5,00
0,00	-4,00	-16,00	27,00	2,00	2,00	-10,00	-26,00	6,00	-1,00	-7,00	-12,00	4,00	-4201,00	4,00	7,00
0,00	-5,00	-6,00	13,00	0,00	0,00	-8,00	0,00	8,00	0,00	-12,00	0,00	2,00	-4196,00	-1,00	11,00
2,00	-12,00	2,00	0,00	0,00	-1,00	-10,00	5,00	3,00	2,00	-12,00	10,00	10,00	-4194,00	-2,00	14,00
0,00	-9,00	0,00	4,00	0,00	4,00	-8,00	3,00	3,00	5,00	-7,00	11,00	2,00	-4186,00	-10,00	18,00
3,00	-6,00	14,00	2,00	-2,00	-1,00	-4,00	-2,00	10,00	0,00	-1,00	0,00	12,00	-4181,00	-13,00	7,00
-1,00	-8,00	11,00	-6,00	3,00	-5,00	-4,00	13,00	10,00	-1,00	7,00	1,00	7,00	-4180,00	-8,00	2,00
-3,00	-10,00	-8,00	0,00	-1,00	-4,00	-2,00	12,00	10,00	-2,00	16,00	2,00	5,00	-4179,00	-7,00	5,00
0,00	-16,00	-21,00	11,00	0,00	0,00	0,00	-3,00	12,00	-21,00	13,00	-6,00	5,00	-4171,00	-5,00	14,00
-3,00	-17,00	-2,00	21,00	2,00	-4,00	0,00	0,00	7,00	-31,00	12,00	-2,00	6,00	-4168,00	-3,00	15,00
-1,00	-12,00	8,00	33,00	-2,00	-7,00	0,00	-7,00	5,00	-19,00	11,00	-7,00	10,00	-4166,00	-3,00	14,00
0,00	-9,00	-11,00	35,00	0,00	-8,00	4,00	-9,00	7,00	-17,00	-8,00	-18,00	1,00	-4158,00	-2,00	16,00
5,00	-10,00	-5,00	23,00	0,00	-8,00	2,00	-15,00	10,00	-11,00	-23,00	-7,00	10,00	-4157,00	-2,00	19,00
2,00	-9,00	-1,00	-1,00	2,00	-4,00	-4,00	-11,00	13,00	-2,00	-30,00	-3,00	9,00	-4153,00	-3,00	17,00
2,00	-8,00	6,00	22,00	0,00	-9,00	2,00	-7,00	11,00	-2,00	-17,00	-14,00	10,00	-4149,00	-4,00	12,00
-1,00	-7,00	3,00	39,00	3,00	-9,00	2,00	-8,00	13,00	15,00	18,00	-4,00	7,00	-4145,00	-2,00	9,00
-1,00	-7,00	7,00	39,00	2,00	-9,00	-2,00	2,00	7,00	30,00	17,00	-3,00	9,00	-4141,00	-6,00	7,00
-2,00	0,00	6,00	27,00	-2,00	-9,00	-4,00	2,00	7,00	27,00	-1,00	4,00	13,00	-4137,00	-6,00	11,00
0,00	-4,00	6,00	3,00	-1,00	-9,00	-5,00	-1,00	7,00	23,00	8,00	3,00	7,00	-4133,00	-7,00	14,00
