MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 01/07/2013 17:56:38


[COMMENT]
10C(alternativa_i_d)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
0,00	-4,00	-19,00	19,00	-6,00	-3,00	-4,00	0,00	0,00	-12,00	-27,00	2,00	4,00	-5154,00	-3,00	10,00
2,00	-2,00	-6,00	8,00	1,00	-5,00	-10,00	27,00	4,00	-14,00	1,00	-20,00	5,00	-5164,00	-7,00	-6,00
2,00	-1,00	2,00	13,00	-2,00	-6,00	-8,00	11,00	0,00	-7,00	39,00	-54,00	2,00	-5176,00	-6,00	-8,00
-4,00	0,00	0,00	28,00	-6,00	-13,00	-1,00	-9,00	0,00	9,00	60,00	-101,00	0,00	-5188,00	-4,00	-6,00
-6,00	-2,00	5,00	59,00	-3,00	-13,00	-2,00	-23,00	4,00	14,00	57,00	-97,00	3,00	-5200,00	-4,00	-1,00
-5,00	2,00	31,00	-32,00	-1,00	-10,00	-1,00	-29,00	3,00	13,00	14,00	-43,00	4,00	-5210,00	-4,00	7,00
-2,00	-8,00	20,00	-112,00	-2,00	-6,00	2,00	-3,00	-1,00	4,00	-34,00	7,00	3,00	-5219,00	-7,00	14,00
-4,00	-3,00	-9,00	-23,00	-2,00	-3,00	0,00	4,00	-2,00	-6,00	-22,00	25,00	0,00	-5232,00	-7,00	8,00
-5,00	0,00	14,00	10,00	-1,00	-1,00	-8,00	-4,00	-4,00	-3,00	18,00	31,00	4,00	-5244,00	-8,00	6,00
-8,00	7,00	13,00	17,00	-1,00	-4,00	-7,00	-17,00	-6,00	-9,00	2,00	68,00	3,00	-5256,00	-7,00	16,00
-1,00	2,00	-1,00	24,00	-2,00	-2,00	-7,00	-9,00	0,00	-19,00	-21,00	83,00	1,00	-5267,00	-8,00	23,00
-2,00	-2,00	-31,00	36,00	-1,00	-7,00	-4,00	-19,00	-1,00	-14,00	33,00	29,00	2,00	-5280,00	-6,00	4,00
-1,00	-1,00	-33,00	32,00	-1,00	-3,00	-1,00	-6,00	0,00	-4,00	68,00	-11,00	4,00	-5291,00	-2,00	-7,00
-1,00	6,00	-21,00	0,00	0,00	-2,00	-6,00	13,00	1,00	-4,00	-14,00	16,00	2,00	-5304,00	-2,00	6,00
-1,00	-8,00	2,00	3,00	2,00	-1,00	-4,00	5,00	2,00	0,00	-75,00	74,00	0,00	-5316,00	-4,00	14,00
-2,00	-2,00	-1,00	26,00	2,00	-6,00	-5,00	13,00	1,00	0,00	-50,00	101,00	2,00	-5326,00	-7,00	12,00
-2,00	-4,00	2,00	30,00	-1,00	-2,00	0,00	11,00	0,00	3,00	-19,00	82,00	4,00	-5339,00	-7,00	0,00
-4,00	-5,00	-9,00	34,00	-2,00	-1,00	-3,00	28,00	-1,00	2,00	-10,00	45,00	0,00	-5352,00	-7,00	-17,00
4,00	0,00	-2,00	34,00	3,00	-4,00	-3,00	13,00	-3,00	-4,00	-1,00	0,00	2,00	-5363,00	-7,00	-13,00
8,00	-3,00	4,00	-7,00	3,00	-7,00	-10,00	2,00	0,00	-6,00	0,00	-73,00	3,00	-5374,00	-4,00	-2,00
0,00	-8,00	0,00	-37,00	2,00	-7,00	-5,00	-10,00	2,00	0,00	4,00	-155,00	3,00	-5386,00	-5,00	4,00
-6,00	-9,00	0,00	-27,00	-2,00	-6,00	-5,00	-2,00	2,00	-1,00	-1,00	-172,00	4,00	-5399,00	-8,00	6,00
-4,00	-3,00	-5,00	-15,00	0,00	0,00	-4,00	0,00	-3,00	0,00	-1,00	-100,00	5,00	-5409,00	-8,00	6,00
